Gender;Age;Academic Program;Antwort 1;Antwort 2;Antwort 3
female;23;Data Science / MSc / TU Wien;"Teil 1: 10; Teil 2: 10; Teil 3: 10";"Teil 1: 8; Teil 2: 5; Teil 3: 10; Teil 4: 3; Teil 5: 3; Teil 6: 2";"Teil 1: Internal; Teil 2: Internal; Teil 3: Internal"
male;21;Data Science / MSc / TU Wien;"part 1: 3; part 2: 7; part 3: 4";"part 1: 0; part 2: 4; part 3: 3; part 4: 3; part 5: 0; part 6: 1";"part 1: External; part 2: External; part 3: Internal"
female;23;Data Science / MSc / TU Wien;"part 1: 20; part 2: 30; part 3: 20";"part 1: 6; part 2: 4; part 3: 9; part 4: 6; part 5: 0; part 6: 2";"part 1: External; part 2: Internal; part 3: External"
female;24;Data Science / MSc / TU Wien;"part 1: 12; part 2: 24; part 3: 24";"part 1: 5; part 2: 1; part 3: 0; part 4: 0; part 5: 0; part 6: 0";"part 1: External; part 2: External; part 3: Internal"
male;22;Data Science / MSc / TU Wien;"part 1: 7; part 2: 5; part 3: 7";"part 1: 30; part 2: 30; part 3: 30; part 4: 30; part 5: 30; part 6: 30";"part 1: External; part 2: External; part 3: External"
male;25;Data Science;"part 1: 8; part 2: 8; part 3: 8";"part 1: 6; part 2: 3; part 3: 0; part 4: 0; part 5: 3; part 6: 2";"part 1: Internal; part 2: Internal; part 3: Internal"
male;26;Data Science / MSc / TU Wien;"part 1: 0; part 2: 64; part 3: 24";"part 1: 0; part 2: 1; part 3: 0; part 4: 7; part 5: 8; part 6: 2";"part 1: External; part 2: External; part 3: External"
male;43;Data Science / MSc / TU Wien;"Teil 1: 12; Teil 2: 0; Teil 3: 12";"Teil 1: 4; Teil 2: 0; Teil 3: 0; Teil 4: 0; Teil 5: 1; Teil 6: 0";"Teil 1: Internal; Teil 2: Internal; Teil 3: Internal"
male;23;Business Informatics / BSc/ TU Wien;"Teil 1: 4; Teil 2: 4; Teil 3: 4";"Teil 1: 0; Teil 2: 4; Teil 3: 0; Teil 4: 3; Teil 5: 0; Teil 6: 2";"Teil 1: Internal; Teil 2: Internal; Teil 3: Internal"
female;26;MSc Data Science;"part 1: 6; part 2: 12; part 3: 10";"part 1: ; part 2: ; part 3: ; part 4: ; part 5: ; part 6:";"part 1: ; part 2: ; part 3:"
female;22;Data Science / MSc / TU WIen;"part 1: 45; part 2: 40; part 3: 45";"part 1: 7; part 2: 5; part 3: 0; part 4: 1; part 5: 1; part 6: 0";"part 1: Internal; part 2: Internal; part 3: Internal"
male;28;Data Science Msc;"Teil 1: 15; Teil 2: 15; Teil 3: 15";"Teil 1: 3; Teil 2: 5; Teil 3: 6; Teil 4: 0; Teil 5: 2; Teil 6: 0";"Teil 1: Internal; Teil 2: Internal; Teil 3: Internal"
male;30;Data Science / MSc / TU Wien;"Teil 1: 20; Teil 2: 20; Teil 3: 20";"Teil 1: 6; Teil 2: 4; Teil 3: 0; Teil 4: 10; Teil 5: 3; Teil 6: 1";"Teil 1: Internal; Teil 2: Internal; Teil 3: Internal"
male;26;Data Science / MSc / TU Wien;"Teil 1: 18; Teil 2: 24; Teil 3: 24";"Teil 1: 2; Teil 2: 0; Teil 3: 6; Teil 4: 0; Teil 5: 2; Teil 6: 0";"Teil 1: Internal; Teil 2: Internal; Teil 3: Internal"
female;30;Data Science;"Teil 1: 10; Teil 2: 20; Teil 3: 10";"Teil 1: 0; Teil 2: 2; Teil 3: 4; Teil 4: 6; Teil 5: 0; Teil 6: 1";"Teil 1: Internal; Teil 2: Internal; Teil 3: Internal"
female;23;Data Science / MSc / TU Wien;"Teil 1: 50; Teil 2: 40; Teil 3: 50";"Teil 1: 3; Teil 2: 4; Teil 3: 3; Teil 4: 4; Teil 5: 0; Teil 6: 2";"Teil 1: Internal; Teil 2: Internal; Teil 3: Internal"
male;23;Statistik und Wirtschaftsmathematik BSc TU Wien;"Teil 1: 16; Teil 2: 16; Teil 3: 16";"Teil 1: 0; Teil 2: 4; Teil 3: 7; Teil 4: 1; Teil 5: 3; Teil 6: 2";"Teil 1: Internal; Teil 2: Internal; Teil 3: Internal"
male;25;Data Science;"part 1: 9; part 2: 10; part 3: 10";"part 1: 3; part 2: 0; part 3: 5; part 4: 0; part 5: 3; part 6: 0";"part 1: External; part 2: Internal; part 3: External"
male;27;Data Science;"part 1: 10; part 2: 12; part 3: 12";"part 1: 2; part 2: 0; part 3: 0; part 4: 0; part 5: 2; part 6: 0";"part 1: Internal; part 2: Internal; part 3: Internal"
male;25;Data Science;"part 1: 8; part 2: 8; part 3: 8";"part 1: 12; part 2: 0; part 3: 24; part 4: 0; part 5: 9; part 6: 0";"part 1: Internal; part 2: Internal; part 3: Internal"
female;33;Data Science;"part 1: 300; part 2: 300; part 3: 300";"part 1: 0; part 2: 4; part 3: 6; part 4: 4; part 5: 6; part 6: 4";"part 1: Internal; part 2: Internal; part 3: Internal"
male;24;Data Science;"Teil 1: 2; Teil 2: 18; Teil 3: 0";"Teil 1: 0; Teil 2: 0; Teil 3: 4; Teil 4: 0; Teil 5: 0; Teil 6: 0";"Teil 1: External; Teil 2: External; Teil 3: External"
female;32;Data Science MSc.;"part 1: 10; part 2: 14; part 3: 10";"part 1: 2; part 2: 12; part 3: 0; part 4: 24; part 5: 0; part 6: 18";"part 1: External; part 2: Internal; part 3: Internal"
female;22;Data Science / MSc / TU Wien;"part 1: 48; part 2: 48; part 3: 48";"part 1: 5; part 2: 0; part 3: 1; part 4: 0; part 5: 1; part 6: 3";"part 1: Internal; part 2: Internal; part 3: Internal"
female;30;MSc;"part 1: 8; part 2: 8; part 3: 8";"part 1: 37; part 2: 0; part 3: 0; part 4: 0; part 5: 9; part 6: 0";"part 1: Internal; part 2: Internal; part 3: Internal"
male;46;Data Science;"part 1: 10; part 2: 10; part 3: 10";"part 1: 0; part 2: 0; part 3: 0; part 4: 1; part 5: 0; part 6: 1";"part 1: Internal; part 2: External; part 3: Internal"
female;25;Data Science / MSc / TU Wien;"part 1: 1; part 2: 5; part 3: 3";"part 1: 3; part 2: 3; part 3: 3; part 4: 2; part 5: 3; part 6: 3";"part 1: External; part 2: External; part 3: External"
